"L","R","F","M","C"
90.2,1,210,580717,0.961639043
86.57,7,140,293678,1.25231444
87.17,11,135,283712,1.254675516
68.23,97,23,281336,1.090869565
60.53,5,152,309928,0.970657895
74.7,79,92,294585,0.967692483
97.7,1,101,287042,0.965346535
48.4,3,73,287230,0.962070222
34.27,6,56,321489,0.828478237
45.5,15,64,375074,0.708010153
40.97,22,43,262013,0.988658044
114.17,6,145,271438,0.95253487
89.5,67,29,321529,0.799126984
90.47,3,118,179514,1.398381742
50.63,2,50,270067,0.921984841
73.13,65,22,234721,1.026084586
45.17,7,101,172231,1.3865249
41.23,45,40,284160,0.837844243
97.2,2,64,169358,1.401596264
31.5,24,38,332896,0.70828541
69,4,106,167113,1.369404116
34.27,6,23,214590,1.061630924
109.23,23,94,305250,0.741803833
48.27,74,20,222380,1.004904443
50.2,17,44,281837,0.787308444
42.13,17,62,243674,0.902990019
87.17,3,213,187917,1.146354614
112.07,11,74,148685,1.433364428
100.17,18,101,159129,1.33816985
70.47,11,87,149254,1.424714581
97.03,2,53,144076,1.469224298
113.77,8,95,149053,1.414895104
109.2,16,131,220948,0.944884271
97.77,3,95,148227,1.398640194
89.23,3,47,285144,0.725685618
54.33,108,25,220389,0.937899941
111.1,34,24,189813,1.087220053
97.43,125,54,141012,1.462104927
83.97,1,166,229303,0.890172305
61.93,34,81,140819,1.429179443
96.57,2,98,137876,1.458541443
38.93,3,35,201141,0.998554546
88.1,3,95,140803,1.396985007
47.57,13,46,256766,0.764737193
113.47,38,54,160825,1.20853437
40.2,22,21,185493,1.029507529
20.87,1,110,187588,1.015978367
93.83,7,134,140356,1.356053179
111.7,2,107,135811,1.398992423
45.17,304,70,219282,0.863479447
71.33,1,189,235687,0.802633323
27.1,4,87,132283,1.425177007
89.67,11,29,211369,0.888869986
76.77,1,48,130135,1.408197795
82,1,68,135374,1.349375212
113.5,4,111,216560,0.828452854
77.23,22,69,131660,1.354943567
74.97,4,126,204371,0.867522349
112.67,15,55,153868,1.146000598
111.7,21,76,214921,0.819187329
110.97,15,68,127335,1.380410335
113.97,1,77,136121,1.288018381
46.37,6,84,186821,0.938031056
35.07,14,96,204612,0.848239546
46.77,8,30,164001,1.057257212
105.07,19,85,121097,1.426106262
77.6,88,32,182563,0.944650121
45.33,19,34,170121,1.013669976
41.6,1,197,275800,0.620507614
64.43,7,30,184194,0.928504294
19.77,62,18,209911,0.811871079
54.13,19,64,137636,1.236256939
27.7,4,149,219108,0.774487057
77.5,13,61,143186,1.183962818
42.17,36,36,209839,0.806177069
44.17,22,22,170406,0.992454374
12.7,29,23,169224,0.995539285
34.2,18,16,163191,1.019520072
41.73,8,102,140220,1.179368992
102.77,6,81,159255,1.034587737
21.33,6,30,208687,0.782406571
93.93,12,127,170611,0.956332827
67.3,2,56,116728,1.394863786
23.5,1,79,208797,0.777341772
110.97,9,97,155881,1.036667137
114,2,158,205159,0.784701427
96.13,7,64,115300,1.391299306
45.57,13,51,137500,1.165835855
82.27,144,29,157056,1.017859044
78.97,1,69,114077,1.387490292
70.57,15,88,122619,1.281481989
38.5,15,42,162453,0.966069448
87.37,10,129,109813,1.429138536
89.33,14,67,123464,1.265322199
48.27,53,12,146784,1.059166667
113.73,4,100,162250,0.952273652
103.7,11,69,118726,1.297050351
36.07,34,17,125349,1.226505277
114.23,9,12,146784,1.046666667
23.43,4,54,144562,1.053910364
69.07,21,79,123985,1.228445376
67.67,5,87,105119,1.445489778
23.4,17,53,144682,1.046215562
88.13,17,92,134823,1.118316089
46.83,11,48,150537,1.001144569
102.73,3,90,108184,1.390945611
63.27,9,56,104663,1.435274261
109.4,4,146,191328,0.783239829
30.97,15,35,167150,0.894261083
30.13,63,33,174046,0.85318887
104.63,7,142,177357,0.835532119
41,44,31,204438,0.723434195
89.33,29,53,102999,1.434114409
83.2,14,21,159605,0.925114251
22.07,27,16,195712,0.75375
113.77,3,85,155704,0.946174922
113.8,22,71,119961,1.225504039
68.2,2,130,167593,0.873661907
47.47,4,89,149557,0.978068228
105.57,11,83,103087,1.411593411
113.53,2,99,162215,0.896966187
110.07,27,40,198627,0.731685018
71.03,11,52,99524,1.458000784
100.47,10,65,119794,1.210876087
108.8,3,34,151642,0.951756044
92.87,6,83,149993,0.960765569
28.93,24,65,109089,1.318943707
15.53,23,18,146238,0.982511386
82.93,4,66,102689,1.39722054
96.83,2,52,105167,1.356986792
37.07,38,27,182561,0.780547269
113.6,1,193,209912,0.675609779
21.43,6,65,184730,0.764
23.97,59,14,144708,0.97367319
54.13,11,24,213058,0.658633893
42.3,17,89,177556,0.787337009
70.33,8,57,98104,1.42497258
53.3,12,101,140188,0.996902945
13.1,16,19,155552,0.897522308
94.4,24,95,140931,0.988949912
73,7,85,97855,1.423453171
113.8,22,108,169746,0.817685954
113.73,4,64,97250,1.426656247
109.5,3,113,204853,0.674381581
55.9,1,31,95766,1.438600025
101.9,5,79,129119,1.065611103
23.27,17,109,163010,0.843554751
60.93,18,19,201613,0.681331859
58.7,25,120,172352,0.790287551
96.9,1,45,116917,1.154155854
83.97,135,19,136374,0.988910129
46.8,184,22,135717,0.993493225
51.83,15,80,105118,1.277942503
88.43,6,82,106666,1.255920537
44.37,12,90,179472,0.744693267
44.43,157,17,143287,0.931991388
91.8,9,39,97116,1.374724556
71.87,11,102,102961,1.295748779
113.8,11,90,158149,0.843185667
111.83,7,125,176585,0.75433474
86.97,23,77,94142,1.414713624
113.37,6,79,157844,0.843179595
89.97,13,116,165365,0.802227557
38.9,15,58,91515,1.448642081
93.6,8,109,144321,0.914492693
94.03,9,180,182540,0.720028487
51.27,1,103,218087,0.602317149
111.93,8,107,155834,0.841613512
36.57,121,14,125796,1.040394289
50.27,2,149,155588,0.836742487
31,49,76,94185,1.380177417
86.87,3,55,94577,1.369523774
30.73,4,80,92022,1.407186108
111.8,16,40,139742,0.926317142
99.9,7,142,183472,0.702883928
12.67,23,14,126850,1.016463224
37.67,30,24,125340,1.026238631
35.13,18,13,126495,1.014545871
89.07,2,85,151736,0.843447435
110.53,3,68,117537,1.085817147
109.57,8,116,161730,0.786706177
24.03,2,123,89350,1.419099832
85.1,17,47,91018,1.389867279
44.37,95,14,123662,1.022610665
94.7,107,49,90602,1.394936204
107.67,2,86,157799,0.799002655
74.43,11,60,106278,1.182681834
105.73,4,110,166843,0.750906841
44.3,179,15,183480,0.681333333
109.93,2,67,119347,1.046676247
50.23,1,51,99034,1.259950118
47.13,69,74,96520,1.289827497
43,27,12,121632,1.023333333
53.7,6,59,85171,1.461263576
55.9,18,120,176951,0.701123814
67.87,3,60,88428,1.40060309
95.2,1,57,90553,1.366744227
27.8,57,43,195034,0.631640227
72.37,2,113,151060,0.81511929
108.53,23,42,165589,0.743348652
108.67,16,58,94554,1.299097235
103.07,30,16,184227,0.66544855
113.83,18,122,180074,0.68017726
107.6,6,72,91164,1.343311285
53.3,10,113,121394,1.008554047
105.43,2,77,157206,0.777235347
64.47,10,57,91658,1.332451177
27.23,13,16,115401,1.057235119
59.6,9,77,151637,0.803643702
111.9,3,88,117157,1.039534044
83.33,51,13,137604,0.884236795
107.9,3,124,113615,1.070194781
101.87,31,69,147549,0.823818121
74.17,1,66,86430,1.406350341
40.53,102,26,178921,0.679305671
56.77,4,59,94946,1.273062688
83.07,1,125,189177,0.637994577
61.43,11,97,171544,0.701652637
99.57,3,57,144505,0.832500467
39.4,5,64,262290,0.457967364
112.8,114,49,88903,1.350911443
79.57,2,58,84353,1.423312271
109.37,5,136,145540,0.82433441
40,4,68,148879,0.804845344
74.67,4,71,180226,0.664729007
90.23,16,116,130636,0.916310894
83.3,1,110,172640,0.693026819
69.3,12,105,145253,0.823284201
61.8,21,52,83356,1.433468257
107,3,106,167199,0.714441235
109,178,11,112128,1.065035317
47.77,13,59,92635,1.283990608
77.13,18,59,145433,0.817583423
99.87,26,83,94441,1.254728561
23.07,317,10,122320,0.966
67.93,1,116,136228,0.866121649
108.93,2,95,138873,0.849043083
31.8,6,79,151183,0.778897164
97.5,7,76,86061,1.367977249
81.73,1,100,91727,1.282347182
113.93,1,107,165304,0.710868219
99.3,290,25,109336,1.074683178
70.97,13,114,151625,0.774562836
49.4,9,57,84080,1.394920314
87.93,22,76,119514,0.98076627
17.67,99,11,111496,1.05
97.03,30,43,94144,1.240551283
37.77,22,20,148827,0.784519543
82.63,32,53,85000,1.373478
104.17,4,56,82981,1.403768453
30.5,2,84,140535,0.827823318
73.57,6,111,141864,0.819703519
34.53,18,109,126167,0.921339098
98.37,5,60,98083,1.175007596
44.83,3,61,161499,0.713012031
68.03,9,43,93447,1.231469603
89.03,5,149,157683,0.724336929
41.93,4,43,111807,1.020765158
47.87,83,56,114358,0.995827664
101.93,3,94,109142,1.040933738
104.5,13,84,139338,0.811427392
20.63,9,16,107047,1.051401627
99.6,17,128,131315,0.856878118
90.43,2,124,130776,0.860026534
38.6,4,111,130622,0.859196613
57.53,1,77,134838,0.832180765
97.33,22,42,77936,1.436042137
53.67,1,124,160524,0.695089955
32.67,6,19,96503,1.156085303
43.7,45,53,134627,0.828407972
34.47,1,61,83245,1.337276713
52.33,1,17,105377,1.056396083
31.53,4,48,119036,0.934725209
90.87,22,26,94249,1.178456641
98.07,31,43,79426,1.395587087
56.57,61,87,115134,0.962306964
46.97,1,114,124499,0.889901525
50.03,20,54,75651,1.462917873
52.43,20,68,163454,0.676618926
79.2,6,112,134757,0.82046172
66.53,13,73,163958,0.673120738
82.8,38,49,80641,1.368281891
19.53,2,40,127004,0.868515165
110.07,5,82,135413,0.81353969
63.3,1,154,129582,0.848141331
101.87,13,58,145294,0.755701956
68.57,2,52,97731,1.120337764
41.23,8,43,78765,1.388142957
62.53,4,105,138593,0.788873392
100.07,4,97,116461,0.93836632
46.37,112,17,121870,0.896000164
49.8,59,32,77106,1.416159832
46.67,5,37,119320,0.914270784
97.4,5,86,159612,0.682643911
24.8,13,62,139995,0.778110575
40.03,11,67,127081,0.856602875
94.4,8,84,129836,0.837625235
63.37,8,117,132853,0.816301476
58.5,2,122,129272,0.837572715
96.27,24,87,131029,0.82610529
63.2,2,73,75413,1.434756209
104.17,8,97,113939,0.949395993
49.9,5,93,150612,0.7180637
49.9,8,83,134621,0.801739699
43.1,11,105,145865,0.737595174
76.17,56,27,164336,0.654476682
100.73,31,24,110964,0.968107765
97.2,2,137,122439,0.874927107
19.17,22,57,90144,1.187537496
52.57,7,50,89115,1.201031476
34.63,8,45,139898,0.765013009
29.87,1,109,122024,0.877036239
52.23,18,46,80830,1.32374168
69.27,17,77,139876,0.763144213
91.27,5,60,154736,0.689844509
21.9,6,66,151383,0.705022823
85.13,4,77,144030,0.74088551
98.3,16,77,80208,1.325833583
41.9,13,28,77108,1.378992322
35.27,113,34,143761,0.739229694
82.83,9,62,141413,0.751386294
47.7,34,53,73717,1.440717609
30.83,4,37,72741,1.459011837
86.87,65,94,126174,0.839762709
82.5,10,48,74411,1.423607397
44.73,5,52,73647,1.430674841
35.17,1,52,135689,0.776371777
102.37,33,59,127314,0.827179729
74.17,9,72,149171,0.705943112
71.4,13,47,76753,1.37078264
113.83,9,107,169750,0.619739087
33.13,23,96,136246,0.771855467
23.73,5,132,151273,0.694012613
38.9,2,168,130985,0.800659159
28.23,17,49,125237,0.837061811
113.53,136,12,103960,1.00799115
89.07,13,36,109695,0.954319431
96.63,77,21,137610,0.760666667
63.3,24,60,137654,0.760252081
113.73,33,84,117382,0.8915401
