"","LOAD_TIME","FFP_DATE","LAST_TO_END","FLIGHT_COUNT","SEG_KM_SUM","avg_discount"
"1","2014/3/31","2006/11/2",1,210,580717,0.961639043
"2","2014/3/31","2007/2/19",7,140,293678,1.25231444
"3","2014/3/31","2007/2/1",11,135,283712,1.254675516
"4","2014/3/31","2008/8/22",97,23,281336,1.090869565
"5","2014/3/31","2009/4/10",5,152,309928,0.970657895
"6","2014/3/31","2008/2/10",79,92,294585,0.967692483
"7","2014/3/31","2006/3/22",1,101,287042,0.965346535
"8","2014/3/31","2010/4/9",3,73,287230,0.962070222
"9","2014/3/31","2011/6/7",6,56,321489,0.828478237
"10","2014/3/31","2010/7/5",15,64,375074,0.708010153
"11","2014/3/31","2010/11/18",22,43,262013,0.988658044
"12","2014/3/31","2004/11/13",6,145,271438,0.95253487
"13","2014/3/31","2006/11/23",67,29,321529,0.799126984
"14","2014/3/31","2006/10/25",3,118,179514,1.398381742
"15","2014/3/31","2010/2/1",2,50,270067,0.921984841
"16","2014/3/31","2008/3/28",65,22,234721,1.026084586
"17","2014/3/31","2010/7/15",7,101,172231,1.3865249
"18","2014/3/31","2010/11/10",45,40,284160,0.837844243
"19","2014/3/31","2006/4/6",2,64,169358,1.401596264
"20","2014/3/31","2011/8/29",24,38,332896,0.70828541
"21","2014/3/31","2008/7/30",4,106,167113,1.369404116
"22","2014/3/31","2011/6/7",6,23,214590,1.061630924
"23","2014/3/31","2005/4/10",23,94,305250,0.741803833
"24","2014/3/31","2010/4/13",74,20,222380,1.004904443
"25","2014/3/31","2010/2/14",17,44,281837,0.787308444
"26","2014/3/31","2010/10/14",17,62,243674,0.902990019
"27","2014/3/31","2007/2/1",3,213,187917,1.146354614
"28","2014/3/31","2005/1/15",11,74,148685,1.433364428
"29","2014/3/31","2006/1/7",18,101,159129,1.33816985
"30","2014/3/31","2008/6/16",11,87,149254,1.424714581
"31","2014/3/31","2006/4/11",2,53,144076,1.469224298
"32","2014/3/31","2004/11/25",8,95,149053,1.414895104
"33","2014/3/31","2005/4/11",16,131,220948,0.944884271
"34","2014/3/31","2006/3/20",3,95,148227,1.398640194
"35","2014/3/31","2006/12/1",3,47,285144,0.725685618
"36","2014/3/31","2009/10/13",108,25,220389,0.937899941
"37","2014/3/31","2005/2/13",34,24,189813,1.087220053
"38","2014/3/31","2006/3/30",125,54,141012,1.462104927
"39","2014/3/31","2007/5/8",1,166,229303,0.890172305
"40","2014/3/31","2009/2/27",34,81,140819,1.429179443
"41","2014/3/31","2006/4/25",2,98,137876,1.458541443
"42","2014/3/31","2011/1/18",3,35,201141,0.998554546
"43","2014/3/31","2007/1/4",3,95,140803,1.396985007
"44","2014/3/31","2010/5/4",13,46,256766,0.764737193
"45","2014/3/31","2004/12/4",38,54,160825,1.20853437
"46","2014/3/31","2010/12/11",22,21,185493,1.029507529
"47","2014/3/31","2012/7/13",1,110,187588,1.015978367
"48","2014/3/31","2006/7/16",7,134,140356,1.356053179
"49","2014/3/31","2005/1/26",2,107,135811,1.398992423
"50","2014/3/31","2010/7/15",304,70,219282,0.863479447
"51","2014/3/31","2008/5/21",1,189,235687,0.802633323
"52","2014/3/31","2012/1/8",4,87,132283,1.425177007
"53","2014/3/31","2006/11/18",11,29,211369,0.888869986
"54","2014/3/31","2007/12/10",1,48,130135,1.408197795
"55","2014/3/31","2007/7/6",1,68,135374,1.349375212
"56","2014/3/31","2004/12/3",4,111,216560,0.828452854
"57","2014/3/31","2007/11/26",22,69,131660,1.354943567
"58","2014/3/31","2008/2/2",4,126,204371,0.867522349
"59","2014/3/31","2004/12/28",15,55,153868,1.146000598
"60","2014/3/31","2005/1/26",21,76,214921,0.819187329
"61","2014/3/31","2005/2/17",15,68,127335,1.380410335
"62","2014/3/31","2004/11/19",1,77,136121,1.288018381
"63","2014/3/31","2010/6/9",6,84,186821,0.938031056
"64","2014/3/31","2011/5/14",14,96,204612,0.848239546
"65","2014/3/31","2010/5/28",8,30,164001,1.057257212
"66","2014/3/31","2005/8/13",19,85,121097,1.426106262
"67","2014/3/31","2007/11/15",88,32,182563,0.944650121
"68","2014/3/31","2010/7/10",19,34,170121,1.013669976
"69","2014/3/31","2010/10/30",1,197,275800,0.620507614
"70","2014/3/31","2008/12/14",7,30,184194,0.928504294
"71","2014/3/31","2012/8/15",62,18,209911,0.811871079
"72","2014/3/31","2009/10/19",19,64,137636,1.236256939
"73","2014/3/31","2011/12/21",4,149,219108,0.774487057
"74","2014/3/31","2007/11/18",13,61,143186,1.183962818
"75","2014/3/31","2010/10/13",36,36,209839,0.806177069
"76","2014/3/31","2010/8/14",22,22,170406,0.992454374
"77","2014/3/31","2013/3/15",29,23,169224,0.995539285
"78","2014/3/31","2011/6/9",18,16,163191,1.019520072
"79","2014/3/31","2010/10/26",8,102,140220,1.179368992
"80","2014/3/31","2005/10/21",6,81,159255,1.034587737
"81","2014/3/31","2012/6/29",6,30,208687,0.782406571
"82","2014/3/31","2006/7/13",12,127,170611,0.956332827
"83","2014/3/31","2008/9/19",2,56,116728,1.394863786
"84","2014/3/31","2012/4/25",1,79,208797,0.777341772
"85","2014/3/31","2005/2/17",9,97,155881,1.036667137
"86","2014/3/31","2004/11/18",2,158,205159,0.784701427
"87","2014/3/31","2006/5/8",7,64,115300,1.391299306
"88","2014/3/31","2010/7/3",13,51,137500,1.165835855
"89","2014/3/31","2007/6/28",144,29,157056,1.017859044
"90","2014/3/31","2007/10/5",1,69,114077,1.387490292
"91","2014/3/31","2008/6/13",15,88,122619,1.281481989
"92","2014/3/31","2011/1/31",15,42,162453,0.966069448
"93","2014/3/31","2007/1/26",10,129,109813,1.429138536
"94","2014/3/31","2006/11/28",14,67,123464,1.265322199
"95","2014/3/31","2010/4/13",53,12,146784,1.059166667
"96","2014/3/31","2004/11/26",4,100,162250,0.952273652
"97","2014/3/31","2005/9/23",11,69,118726,1.297050351
"98","2014/3/31","2011/4/14",34,17,125349,1.226505277
"99","2014/3/31","2004/11/11",9,12,146784,1.046666667
"100","2014/3/31","2012/4/27",4,54,144562,1.053910364
"101","2014/3/31","2008/7/28",21,79,123985,1.228445376
"102","2014/3/31","2008/9/8",5,87,105119,1.445489778
"103","2014/3/31","2012/4/28",17,53,144682,1.046215562
"104","2014/3/31","2007/1/3",17,92,134823,1.118316089
"105","2014/3/31","2010/5/26",11,48,150537,1.001144569
"106","2014/3/31","2005/10/22",3,90,108184,1.390945611
"107","2014/3/31","2009/1/18",9,56,104663,1.435274261
"108","2014/3/31","2005/4/5",4,146,191328,0.783239829
"109","2014/3/31","2011/9/14",15,35,167150,0.894261083
